,score_qa_distilbert
464,0.0006736578070558608
465,0.0003290085296612233
466,0.00039502049912698567
467,0.00027050526114180684
468,0.0005003961268812418
469,0.00021968621877022088
470,0.0002886533038690686
471,0.0002558903652243316
472,0.00041712523670867085
473,0.00017258375009987503
474,0.0005471340264193714
475,0.0004301334556657821
476,0.0003478032595012337
477,0.00029510888271033764
478,0.0007503068190999329
479,0.00027235824381932616
480,0.0006163546349853277
481,0.0002531407808419317
482,0.00035440706415101886
483,0.00044464756501838565
484,0.0006516198045574129
485,0.0004141052777413279
486,0.0006000648718327284
487,0.00031187417334876955
488,0.00011660195741569623
489,0.00038688600761815906
490,0.0006380223203450441
491,0.00021685735555365682
492,0.00021746254060417414
493,0.0006928431103006005
494,0.0007819477468729019
495,0.0011690157698467374
496,0.00027030654018744826
497,0.0003609897685237229
498,0.000494623149279505
499,0.0001618110400158912
500,0.00011772404832299799
501,0.0006783136632293463
502,0.0007184861460700631
503,0.0008137898403219879
504,0.0005022869445383549
505,0.0004983575199730694
506,0.000497037370223552
507,0.0007327882922254503
508,0.00036391543108038604
509,0.00016787901404313743
510,0.0005297196330502629
511,0.00027835796936415136
512,0.0003741696709766984
513,0.0003296484937891364
514,0.00043093840940855443
515,0.0005141794681549072
516,0.0004358620208222419
517,0.00036422128323465586
518,0.0007665435550734401
519,0.0006356834201142192
520,0.00021061103325337172
521,0.0002489588223397732
522,0.00046242575626820326
523,0.0008174401591531932
524,0.0008326747338287532
525,0.0005612749373540282
526,0.00077961222268641
527,0.00037891860119998455
528,0.00017779276822693646
529,0.0004205085861030966
530,0.00017427335842512548
531,0.0003126930387225002
532,0.00037390366196632385
533,0.0005039115203544497
534,0.00029999646358191967
535,0.0003253162431064993
536,0.0003927778743673116
537,0.0004692621878348291
538,0.0004531425947789103
539,0.00034215618507005274
540,0.00023084839631337672
541,0.00014601480506826192
542,0.0004206797166261822
543,0.0001340839808108285
544,0.00010702625149860978
545,0.00010820927855093032
546,9.78074167505838e-05
547,0.00011242159962421283
548,0.00038819792098365724
549,0.00036249912227503955
550,0.0001622396957827732
551,0.0003850721986964345
552,0.0003753181954380125
553,0.000471046834718436
554,0.0008151656948029995
555,0.0013170510064810514
556,0.0010456935269758105
557,0.0001864299993030727
558,0.0006567758973687887
559,0.0009921996388584375
560,0.00025355478283017874
561,0.0008098764810711145
562,0.00024236076569650322
563,0.00025627779541537166
564,0.001205782755278051
565,0.0004377398581709713
566,0.00013474028673954308
567,0.000519014720339328
568,0.000362419115845114
569,0.0013733244268223643
570,0.0004042510990984738
571,0.0007914450252428651
572,0.00026892300229519606
573,0.0007739508291706443
574,0.0003247469721827656
575,0.000702946912497282
576,0.00036075725802220404
577,0.00032843626104295254
578,0.00034856394631788135
579,0.0003301591787021607
580,0.00032657256815582514
581,0.00038252139347605407
582,0.0008172509260475636
583,0.00031882355688139796
584,0.0005193895776756108
585,0.000688940635882318
586,0.0003624466771725565
587,0.0007254269439727068
588,0.00017729209503158927
589,0.0004113340110052377
590,0.0005279990728013217
591,0.0004363507323432714
592,0.00014122076390776783
593,0.0019463811768218875
594,0.00012701096420641989
595,0.00039471552008762956
596,0.00046094495337456465
597,0.0004263451264705509
598,0.0003457146813161671
599,0.00021793869382236153
600,0.0003485805937089026
601,0.0003272495814599097
602,0.00017897183715831488
603,0.0003346795856487006
604,0.00021002825815230608
605,0.0006343719433061779
606,0.0005146492621861398
607,0.0005940865958109498
608,0.000409018830396235
609,0.00036364168045111
610,0.0006225434481166303
611,0.000341423467034474
612,0.00048208050429821014
613,0.00024325272534042597
614,0.0016080441419035196
615,0.0002873894991353154
616,0.0006969635142013431
617,0.0003772074414882809
618,0.0007287470507435501
619,0.000314686622004956
620,0.00026029348373413086
621,0.0010609043529257178
622,0.0005901608383283019
623,0.0002084241423290223
624,0.0002382511884206906
625,0.00038454559398815036
626,0.00026676608831621706
627,0.00019338067795615643
628,0.00042064260924234986
629,0.0007132146856747568
630,0.000370785070117563
631,0.0002871500328183174
632,0.0004425424849614501
633,0.00045027866144664586
634,0.0004035590682178736
635,0.0005365419201552868
636,0.0001533739414298907
637,0.000595337594859302
638,0.00059317093109712
639,0.001245607272721827
640,0.0008029444725252688
641,0.0006399020785465837
642,0.00014168825873639435
643,0.00044388906098902225
644,0.0001301141019212082
645,0.0010604221606627107
646,0.0003718197694979608
647,0.0010815324494615197
648,0.000680072233080864
649,0.0007734718383289874
